强碱,強鹼
烟碱,菸鹼
酸碱,酸鹼
碱化,鹼化
碱度,鹼度
碱性,鹼性
碱液,鹼液
什么,什麼
多么,多麼
干么,幹麼
怎么,怎麼
甚麼,甚麼
要麼,要麼
这麼,這麼
那麼,那麼
一并,一併
一只,一隻
丁当,丁當
上当,上當
上线,上線
上台,上臺
下线,下線
下台,下臺
下药,下藥
不干,不幹
不当,不當
不尽,不盡
中奖,中獎
中线,中線
中药,中藥
丸药,丸藥
主干,主幹
乱发,亂髮
了当,了當
二极,二極
井里,井裏
亚当,亞當
什麼,什麼
介壳,介殼
仙药,仙藥
仰药,仰藥
并列,並列
并合,併合
并吞,併吞
并排,並排
并拢,並攏
并案,併案
并为,併爲
并发,並發
并科,併科
来历,來歷
便当,便當
俯冲,俯衝
假发,假髮
停当,停當
伪药,僞藥
倾复,傾覆
允当,允當
兄台,兄臺
充当,充當
充饥,充飢
光线,光線
兑奖,兌獎
内线,內線
两极,兩極
两只,兩隻
公启,公啟
公干,公幹
公里,公里
典当,典當
兼并,兼併
出线,出線
函复,函覆
分钟,分鐘
切当,切當
切线,切線
刺绣,刺繡
刻钟,刻鐘
剃发,剃髮
削发,削髮
前线,前線
剪发,剪髮
割线,割線
创获,創穫
划线,劃線
剧药,劇藥
力尽,力盡
加线,加線
勺药,芍藥
勾当,勾當
匏系,匏繫
北极,北極
匪干,匪幹
南极,南極
博采,博採
卷发,捲髮
卷须,捲鬚
去壳,去殼
去当,去當
反复,反複
反复,反覆
受奖,受獎
台启,臺啟
吃药,吃藥
合并,合併
吞并,吞併
含蕴,含蘊
哀启,哀啟
哪里,哪裏
启事,啟事
启动,啟動
启口,啟口
启土,啟土
启报,啟報
启封,啟封
启明,啟明
启用,啟用
启发,啟發
启示,啟示
启程,啟程
启者,啟者
启聪,啟聰
启航,啟航
启蒙,啟蒙
启行,啟行
启迪,啟迪
启运,啟運
启衅,啟釁
启开,啟開
启齿,啟齒
善尽,善盡
喜极,喜極
丧钟,喪鐘
单线,單線
嘉奖,嘉獎
嘴里,嘴裏
嚼蜡,嚼蠟
四极,四極
回复,回覆
围墙,圍牆
圆台,圓臺
土墙,土牆
地壳,地殼
地线,地線
坍台,坍臺
垮台,垮臺
城墙,城牆
基线,基線
堵墙,堵牆
塌台,塌臺
塔台,塔臺
压线,壓線
外壳,外殼
外线,外線
多麼,多麼
夜里,夜裏
梦里,夢裏
天线,天線
太极,太極
失当,失當
女墙,女牆
如厕,如廁
妙极,妙極
妥当,妥當
字汇,字彙
学历,學歷
宫墙,宮牆
家当,家當
家里,家裏
实干,實幹
实线,實線
射线,射線
专线,專線
对奖,對獎
导线,導線
就里,就裏
屋里,屋裏
屏当,屏當
履历,履歷
山墙,山牆
山药,山藥
颠覆,顛覆
已极,已極
平台,平臺
干事,幹事
干劲,幹勁
干员,幹員
干啥,幹啥
干嘛,幹嘛
干完,幹完
干将,幹將
干才,幹才
干掉,幹掉
干活,幹活
干略,幹略
干线,幹線
干练,幹練
干办,幹辦
干道,幹道
干部,幹部
干麼,幹麼
几只,幾隻
底线,底線
底蕴,底蘊
店里,店裏
座钟,座鐘
厕所,廁所
弄脏,弄髒
引线,引線
弧线,弧線
强鹼,強鹼
弹壳,彈殼
弹药,彈藥
汇刊,彙刊
汇报,彙報
汇整,彙整
汇算,彙算
汇编,彙編
汇总,彙總
汇纂,彙纂
汇集,彙集
彩线,彩線
后台,後臺
得奖,得獎
得当,得當
心药,心藥
心里,心裏
忙线,忙線
怎麼,怎麼
恰当,恰當
恶极,惡極
想尽,想盡
惬当,愜當
应当,應當
怀里,懷裏
成药,成藥
战线,戰線
房里,房裏
手启,手啟
手里,手裏
才干,才幹
承当,承當
抓药,抓藥
投药,投藥
折线,折線
折冲,折衝
披发,披髮
抵当,抵當
抽奖,抽獎
拆台,拆臺
括线,括線
捲发,捲髮
排线,排線
挂钩,掛鉤
挂钟,掛鐘
采下,採下
采伐,採伐
采信,採信
采光,採光
采取,採取
采掘,採掘
采摘,採摘
采择,採擇
采撷,採擷
采料,採料
采桑,採桑
采获,採獲
采用,採用
采矿,採礦
采纳,採納
采花,採花
采茶,採茶
采薪,採薪
采行,採行
采访,採訪
采买,採買
采购,採購
采办,採辦
采集,採集
接线,接線
推奖,推獎
换药,換藥
握发,握髮
摇奖,搖獎
搭线,搭線
搽药,搽藥
摭采,摭採
担当,擔當
擦药,擦藥
支干,支幹
支线,支線
收获,收穫
收线,收線
救药,救藥
敢当,敢當
散发,散髮
散发,散發
敬启,敬啟
敲钟,敲鐘
敷药,敷藥
斜线,斜線
断线,斷線
施药,施藥
春药,春藥
时钟,時鐘
暗线,暗線
曲尽,曲盡
曲线,曲線
月台,月臺
有线,有線
服药,服藥
未尽,未盡
本当,本當
材干,材幹
束发,束髮
东线,東線
枝干,枝幹
染发,染髮
核复,核覆
格线,格線
框线,框線
梯冲,梯衝
械系,械繫
棉线,棉線
极不,極不
极了,極了
极低,極低
极佳,極佳
极光,極光
极其,極其
极具,極具
极刑,極刑
极力,極力
极品,極品
极地,極地
极多,極多
极大,極大
极好,極好
极富,極富
极小,極小
极少,極少
极左,極左
极差,極差
极度,極度
极广,極廣
极弱,極弱
极强,極強
极微,極微
极快,極快
极早,極早
极易,極易
极星,極星
极东,極東
极权,極權
极为,極為
极尽,極盡
极目,極目
极短,極短
极端,極端
极至,極至
极致,極致
极速,極速
极量,極量
极长,極長
极限,極限
极需,極需
极高,極高
极点,極點
楼台,樓臺
标线,標線
树干,樹幹
机壳,機殼
横线,橫線
横竖,橫豎
检复,檢覆
台子,檯子
台灯,檯燈
台球,檯球
台面,檯面
柜台,櫃檯
欠当,欠當
正当,正當
武当,武當
历久,歷久
历乱,歷亂
历代,歷代
历任,歷任
历来,歷來
历劫,歷劫
历史,歷史
历届,歷屆
历年,歷年
历时,歷時
历书,曆書
历朝,歷朝
历次,歷次
历历,歷歷
历法,曆法
历尽,歷盡
历程,歷程
历经,歷經
历练,歷練
历落,歷落
历险,歷險
归并,歸併
死当,死當
殆尽,殆盡
壳子,殼子
每当,每當
每只,每隻
毒药,毒藥
毛线,毛線
毛发,毛髮
毫发,毫髮
河里,河裏
沿线,沿線
法线,法線
洗发,洗髮
流当,流當
海线,海線
海里,海裏
海里,海里
消极,消極
涉历,涉歷
涵蕴,涵蘊
渠冲,渠衝
汤药,湯藥
准线,準線
漏尽,漏盡
泻药,瀉藥
火并,火併
火线,火線
火药,火藥
炸药,炸藥
乌发,烏髮
无尽,無盡
无线,無線
煎药,煎藥
烟台,煙臺
热线,熱線
灯壳,燈殼
灯台,燈臺
燎发,燎髮
烧尽,燒盡
烫发,燙髮
烛台,燭臺
爬墙,爬牆
墙上,牆上
墙垣,牆垣
墙壁,牆壁
墙外,牆外
墙根,牆根
墙脚,牆腳
墙里,牆裏
墙角,牆角
墙面,牆面
墙头,牆頭
特奖,特獎
牵线,牽線
牵系,牽繫
猜奖,猜獎
奖券,獎券
奖助,獎助
奖勉,獎勉
奖励,獎勵
奖品,獎品
奖惩,獎懲
奖挹,獎挹
奖掖,獎掖
奖杯,獎杯
奖牌,獎牌
奖状,獎狀
奖章,獎章
奖许,獎許
奖赏,獎賞
奖金,獎金
奖项,獎項
奖饰,獎飾
获奖,獲獎
理当,理當
理发,理髮
瑶台,瑤臺
瓦当,瓦當
甚麼,甚麼
生锈,生鏽
用尽,用盡
田里,田裏
甲壳,甲殼
男厕,男廁
界线,界線
当上,當上
当下,當下
当世,當世
当中,當中
当了,當了
当事,當事
当今,當今
当代,當代
当令,當令
当作,當作
当值,當值
当做,當做
当先,當先
当儿,當兒
当兵,當兵
当初,當初
当前,當前
当即,當即
当国,當國
当地,當地
当场,當場
当夜,當夜
当天,當天
当官,當官
当家,當家
当局,當局
当差,當差
当年,當年
当心,當心
当成,當成
当掉,當掉
当政,當政
当日,當日
当是,當是
当时,當時
当晚,當晚
当朝,當朝
当机,當機
当权,當權
当归,當歸
当然,當然
当班,當班
当当,當當
当真,當真
当众,當衆
当票,當票
当红,當紅
当舖,當舖
当着,當著
当街,當街
当路,當路
当轴,當軸
当过,當過
当道,當道
当选,當選
当量,當量
当铺,當鋪
当鑪,當鑪
当关,當關
当面,當面
当头,當頭
病历,病歷
登极,登極
登台,登臺
白蜡,白蠟
白发,白髮
皓发,皓髮
尽到,盡到
尽力,盡力
尽失,盡失
尽孝,盡孝
尽心,盡心
尽忠,盡忠
尽快,盡快
尽性,盡性
尽情,盡情
尽意,盡意
尽数,盡數
尽日,盡日
尽是,盡是
尽弃,盡棄
尽欢,盡歡
尽然,盡然
尽瘁,盡瘁
尽管,盡管
尽职,盡職
尽致,盡致
尽兴,盡興
尽言,盡言
尽责,盡責
尽量,盡量
尽头,盡頭
直线,直線
直钩,直鉤
相当,相當
眼线,眼線
眼药,眼藥
眼里,眼裏
短线,短線
短发,短髮
矮墙,矮牆
石墙,石牆
石莼,石蓴
石蜡,石蠟
砌墙,砌牆
硬干,硬幹
砚台,硯臺
磁极,磁極
砖墙,磚牆
示复,示覆
祼线,祼線
禁药,禁藥
秃发,禿髮
秀发,秀髮
秒钟,秒鐘
稜线,稜線
禀复,稟覆
积极,積極
稳当,穩當
穿墙,穿牆
穿线,穿線
窗台,窗檯
穷极,窮極
穷尽,窮盡
穷发,窮髮
站台,站臺
竭尽,竭盡
答复,答覆
管线,管線
筑墙,築牆
简历,簡歷
粉墙,粉牆
粗线,粗線
粗卤,粗鹵
精干,精幹
系里,系裏
红线,紅線
纱线,紗線
素发,素髮
细线,細線
终极,終極
结发,結髮
绞尽,絞盡
给奖,給獎
绒线,絨線
丝线,絲線
经历,經歷
经线,經線
维系,維繫
紧绷,緊繃
线上,線上
线圈,線圈
线图,線圖
线形,線形
线性,線性
线框,線框
线条,線條
线段,線段
线民,線民
线状,線狀
线管,線管
线索,線索
线装,線裝
线西,線西
线路,線路
线道,線道
线头,線頭
编采,編採
缓冲,緩衝
纬线,緯線
繁复,繁複
绷子,繃子
绷带,繃帶
绷紧,繃緊
绕线,繞線
绣像,繡像
绣口,繡口
绣户,繡戶
绣房,繡房
绣球,繡球
绣花,繡花
绣阁,繡閣
系上,繫上
系世,繫世
系心,繫心
系念,繫念
系怀,繫懷
系恋,繫戀
系于,繫於
系结,繫結
系绳,繫繩
系累,繫纍
系着,繫著
系辞,繫辭
缆线,纜線
罄尽,罄盡
罔极,罔極
羁系,羈繫
美发,美髮
翻复,翻覆
耗尽,耗盡
联系,聯繫
肚里,肚裏
胃里,胃裏
能干,能幹
脉冲,脈衝
脱壳,脫殼
脱线,脫線
脑壳,腦殼
肠线,腸線
膏药,膏藥
自尽,自盡
至极,至極
至当,至當
台北,臺北
台南,臺南
台塑,臺塑
台大,臺大
台币,臺幣
台榭,臺榭
台步,臺步
台汽,臺汽
台海,臺海
台湾,臺灣
台省,臺省
台端,臺端
台糖,臺糖
台肥,臺肥
台航,臺航
台西,臺西
台词,臺詞
台阶,臺階
台电,臺電
舞台,舞臺
航线,航線
船只,船隻
舰只,艦隻
良药,良藥
芍药,芍藥
苑里,苑裏
若干,若幹
苦干,苦幹
茅厕,茅廁
草药,草藥
茎干,莖幹
华发,華髮
菸鹼,菸鹼
落发,落髮
蓄发,蓄髮
萧墙,蕭牆
药丸,藥丸
药典,藥典
药剂,藥劑
药力,藥力
药包,藥包
药味,藥味
药品,藥品
药商,藥商
药单,藥單
药学,藥學
药局,藥局
药师,藥師
药店,藥店
药厂,藥廠
药引,藥引
药性,藥性
药房,藥房
药效,藥效
药方,藥方
药材,藥材
药棉,藥棉
药水,藥水
药液,藥液
药片,藥片
药物,藥物
药王,藥王
药理,藥理
药瓶,藥瓶
药用,藥用
药石,藥石
药科,藥科
药箱,藥箱
药粉,藥粉
药罐,藥罐
药膏,藥膏
药草,藥草
药行,藥行
药酒,藥酒
药量,藥量
药针,藥針
药铺,藥鋪
药饵,藥餌
蕴含,蘊含
蕴涵,蘊涵
蕴结,蘊結
蕴育,蘊育
蕴藉,蘊藉
蕴藏,蘊藏
蕴酿,蘊釀
